activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
UBUHINZI BW'ICYAYI,ubuhinzi bw'icyayi,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
KWIGISHA MURI COUR DU SOIR,kwigisha muri cour du soir,8550,8550,8550,4,4,Educational support activities,Educational support activities,Educational support activities,9999
"akabari nkinzoga zipfundikiye higanjemo Primus,Fanta,mitz?ng,turbo na Skol","akabari nkinzoga zipfundikiye higanjemo primus,fanta,mitz?ng,turbo na skol",5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBWUBATSI BWA MAZU,ubwubatsi bwa mazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
umurimo wo gufotora no gutunganya amafoto,umurimo wo gufotora no gutunganya amafoto,4762,4762,4762,4,4, Retail sale of music and video recordings in specialized stores,Retail sale of music and video recordings in specialized stores, Retail sale of music and video recordings in specialized stores,4762
KURIMIRA IBISHYIMBO,kurimira ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi bwiganjemo ibiribwa,ubucuruzi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUKANIKA IBIKORESHO BYITUMANAHO HIGANJEMO TELEPHONE,gukanika ibikoresho byitumanaho higanjemo telephone,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
UBUCURUZI BURANGUZA IBIRIBWA,ubucuruzi buranguza ibiribwa,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
"ubudandazi(ibitibwa,umuceri,isukari,ibikoresho byishuli,amavuta ,ubunyobwa)","ubudandazi(ibitibwa,umuceri,isukari,ibikoresho byishuli,amavuta ,ubunyobwa)",4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
kugabura inzoga,kugabura inzoga,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
ubucuruzi bwibikoresho byubwubatsi,ubucuruzi bwibikoresho byubwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
ubucuruzi bwibinyobwa juices,ubucuruzi bwibinyobwa juices,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
GUCUNGA UMUTEKANO MUMUDUGUDU,gucunga umutekano mumudugudu,8010,8010,8010,4,4,Private security activities,Private security activities,Private security activities,8010
"UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE HIGANJEMO IBIRIBWA( UMUCELI, UBUGALI, KAWUNGA)","ubucuruzi budandaza ibintu bitandukanye higanjemo ibiribwa( umuceli, ubugali, kawunga)",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BW'IMYENDA,ubucuruzi bw'imyenda,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
ubucuruzi bwibyokunywa,ubucuruzi bwibyokunywa,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
ubucuruzi bwinkweto zabana kugisima,ubucuruzi bwinkweto zabana kugisima,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
UBWOROZI BWINKA,ubworozi bwinka,141,141,141,3,4,Raising of cattle and buffaloes,Raising of cattle and buffaloes,Raising of cattle and buffaloes,141
kudoda,kudoda,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
Kogosha(abagabo n'abagore),kogosha(abagabo n'abagore),9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUHINZI NGANDURARUGO,ubuhinzi ngandurarugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUDANDAZI BW'IBIRIBWA MURI BOUTIQUE,ubudandazi bw'ibiribwa muri boutique,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Gutunganya imisatsi y'abagore,gutunganya imisatsi y'abagore,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
Ubicuruzi budandaza ibyuma byamagare,ubicuruzi budandaza ibyuma byamagare,4763,4763,4763,4,4,Retail sale of sporting equipment in specialized stores,Retail sale of sporting equipment in specialized stores,Retail sale of sporting equipment in specialized stores,4763
kudadanza ibiribwa,kudadanza ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUREZI,uburezi,8550,8550,8550,4,4,Educational support activities,Educational support activities,Educational support activities,9999
Gusana ibikoresho by'itumanaho,gusana ibikoresho by'itumanaho,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
Ubucuruzi budandaza inkweto,ubucuruzi budandaza inkweto,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
UBUHINZI BW IBISHYIMBO,ubuhinzi bw ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
"ubucuruzi budandaza ibiribwa byimboga bidatetse birimo carroti,intoryi","ubucuruzi budandaza ibiribwa byimboga bidatetse birimo carroti,intoryi",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUTWARA ABANTU KURI MOTO,gutwara abantu kuri moto,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
"Kudanadaza ibiribwa higanjemo akawunga n,umuceri umunyu namavuta yokurya","kudanadaza ibiribwa higanjemo akawunga n,umuceri umunyu namavuta yokurya",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BWIBIRIBWA,ubucuruzi bwibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Bacuruza imyenda y abana badandaza,bacuruza imyenda y abana badandaza,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
GUSANA IMYAMBARO,gusana imyambaro,9522,9522,9522,4,4,Repair of household appliances and home and garden equipment,Repair of household appliances and home and garden equipment,Repair of household appliances and home and garden equipment,5555
UBUHINZI BWOROZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bworozi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
GUSATURA IMBAHO,gusatura imbaho,1610,1610,1610,4,4,Sawmilling and planing of wood,Sawmilling and planing of wood,Sawmilling and planing of wood,1610
Regulation of the activities of providing healt in DISTRICT,regulation of the activities of providing healt in district,8412,8412,8412,4,4,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",5555
Ubudandazi bwa gaz,ubudandazi bwa gaz,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
IMIRIMO Y'INZEGO ZIBANZE,imirimo y'inzego zibanze,8411,8411,8411,4,4,General public administration activities,General public administration activities,General public administration activities,8411
ubucuruzi bw' ibirirwa,ubucuruzi bw'ibirirwa,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
GUKORA TELEFONE,gukora telefone,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
KUBAZA INZUGI,kubaza inzugi,3100,3100,3100,4,4,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,3100
badoda imyenda ya badamu badandaza,badoda imyenda ya badamu badandaza,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
BAVURA ABARWAYI,bavura abarwayi,8610,8610,8610,4,4,Hospital activities,Hospital activities,Hospital activities,8610
ubucuruzi budandaza ibiribwa n' ibikoresho by' isuku,ubucuruzi budandaza ibiribwa n'ibikoresho by'isuku,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'IBIRAYI,ubuhinzi bw'ibirayi,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
kudandaza higanje inzoga,kudandaza higanje inzoga,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubudandazi bwiganjemo ibiribwa,ubudandazi bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kuranguza no kudandaza ibiryo n'ibikoresho by'isuku(boutique),kuranguza no kudandaza ibiryo n'ibikoresho by'isuku(boutique),4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUHINZI BW'IGORI,ubuhinzi bw'igori,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
IGARAJE RIKORA MOTO,igaraje rikora moto,4540,4540,4540,4,4,"Sale, maintenance and repair of motorcycles and related parts and accessories","Sale, maintenance and repair of motorcycles and related parts and accessories","Sale, maintenance and repair of motorcycles and related parts and accessories",4540
kuranguza ibyiganjemo imiceri n'amafu atandukanye,kuranguza ibyiganjemo imiceri n'amafu atandukanye,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUTWARA ABANTU MU MIJYI UKORESHEJE UBUTAKA,gutwara abantu mu mijyi ukoresheje ubutaka,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
UBUCURUZI BWOGUTANGA AMA UNITE,ubucuruzi bwogutanga ama unite,4741,4741,4741,4,4,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741
UBUREZI BW'AMASHULI YISUMBUYE,uburezi bw'amashuli yisumbuye,8521,8521,8521,4,4,General secondary education,General secondary education,General secondary education,8521
GUKANIKA IBINYABIZIGA,gukanika ibinyabiziga,4652,4652,4652,4,4,Wholesale of electronic and telecommunications equipment and parts,Wholesale of electronic and telecommunications equipment and parts,Wholesale of electronic and telecommunications equipment and parts,9999
ubucurunzi bundandaza ibiribwa bitandukanye higajemo ibishyimbo,ubucurunzi bundandaza ibiribwa bitandukanye higajemo ibishyimbo,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
kudandaza ibinyamboga bitandukanye higanjemo Ibitunguru n'inyanya,kudandaza ibinyamboga bitandukanye higanjemo ibitunguru n'inyanya,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
ubucuruzi budandaza bwa boutique higanjemo amavuta yo kurya nayo kwisiga,ubucuruzi budandaza bwa boutique higanjemo amavuta yo kurya nayo kwisiga,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
kudandaza higanjemo ibiribwa,kudandaza higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Kwogosha abantu,kwogosha abantu,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
Ubucuruzi bw'ibiribwa muri boutique,ubucuruzi bw'ibiribwa muri boutique,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
KWIKORERA IBINTU KWIGARE,kwikorera ibintu kwigare,4923,4923,4923,4,4,Freight transport by road,Freight transport by road,Freight transport by road,4923
gucuruza  akawunga,gucuruza akawunga,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubukanishi bwamatelefone namaradiyo,ubukanishi bwamatelefone namaradiyo,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
guserva amata namandazi,guserva amata namandazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
ubudandaza higanjemo Amavuta yo kurya,ubudandaza higanjemo amavuta yo kurya,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
ubudandazi bwibiribwa bibisi muri boutique,ubudandazi bwibiribwa bibisi muri boutique,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUDANDAZI BW'UBUCOSHO BWIGANJEMO IBIRIBWA BITEGURIRWA MU RUGO,ubudandazi bw'ubucosho bwiganjemo ibiribwa bitegurirwa mu rugo,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Kudoda imyenda,kudoda imyenda,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
ubuzuruzi buranguza bukanadandaza ibintu bitadukanye muri butike,ubuzuruzi buranguza bukanadandaza ibintu bitadukanye muri butike,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUKORA AMANDAZI YO KUGURISHA,gukora amandazi yo kugurisha,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
"KUDANDAZA IMBOGA HIGANJEMO IBINYOMORO,MARACUJA,IMYEMBE","kudandaza imboga higanjemo ibinyomoro,maracuja,imyembe",4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
BUBAKA AMAZU ASANZWE,bubaka amazu asanzwe,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Kwogosha abakiliya babagana,kwogosha abakiliya babagana,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubucoco,ubucoco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
Kudandaza ibiribwa by'abantu,kudandaza ibiribwa by'abantu,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUDANDAZI BW'IBITOKI,ubudandazi bw'ibitoki,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
IMIRIMO YAKARERE,imirimo yakarere,8411,8411,8411,4,4,General public administration activities,General public administration activities,General public administration activities,8411
footwear manufacturing,footwear manufacturing,1520,1520,1520,4,4, Manufacture of footwear,Manufacture of footwear, Manufacture of footwear,5555
UBUHINZI N'UBWOROZI BWO GUTUNGA URUGO,ubuhinzi n'ubworozi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
"GUSYA IMYAKA HIGANJEMO IMUUMBATI,AMAMERA","gusya imyaka higanjemo imuumbati,amamera",1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
KUDANDAZA IMBUTO KU MUHANDA,kudandaza imbuto ku muhanda,4799,4799,4799,4,4,"Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets","Other retail sale not in stores, stalls or markets",4799
KUNYONGA IGARE,kunyonga igare,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
kudandaza ibintu bitandukanye muri boutique higanjemo ibiribwa,kudandaza ibintu bitandukanye muri boutique higanjemo ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
Imirimo ijyanye nogutaga serivisi zitandukanye,imirimo ijyanye nogutaga serivisi zitandukanye,4761,4761,4761,4,4," Retail sale of books, newspapers and stationary in specialized stores","Retail sale of books, newspapers and stationary in specialized stores"," Retail sale of books, newspapers and stationary in specialized stores",4761
UBUHINZI BWIBIGORI,ubuhinzi bwibigori,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
IYOGEZABUTUMWA,iyogezabutumwa,9491,9491,9491,4,4,Activities of religious organizations,Activities of religious organizations,Activities of religious organizations,9491
UBUHINZI BW'IBINYAMPEKE,ubuhinzi bw'ibinyampeke,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBWIKOREZI  BWIMIZIGO KU MUTWE,ubwikorezi bwimizigo ku mutwe,4923,4923,4923,4,4,Freight transport by road,Freight transport by road,Freight transport by road,4923
Akabari cyikigage,akabari cyikigage,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
IMIRIMO Y'INZEGO Z'IBANZE,imirimo y'inzego z'ibanze,8411,8411,8411,4,4,General public administration activities,General public administration activities,General public administration activities,8411
ubucuruz bw'ibiribwa n'ibinyobwa muri boutique,ubucuruz bw'ibiribwa n'ibinyobwa muri boutique,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
KURIMIRA IBISHYIMBO,kurimira ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
guhinga kawa no kuyigemura,guhinga kawa no kuyigemura,9411,9411,9411,4,4, Activities of business and employers membership organizations,Activities of business and employers membership organizations, Activities of business and employers membership organizations,9411
UBUREZI KUBANA B'ABAHUNGU N'ABAKOBWA,uburezi kubana b'abahungu n'abakobwa,8521,8521,8521,4,4,General secondary education,General secondary education,General secondary education,8521
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
Gucuruza Amaterefone mato,gucuruza amaterefone mato,4742,4742,4742,4,4,Retail sale of audio and video equipment in specialized stores,Retail sale of audio and video equipment in specialized stores,Retail sale of audio and video equipment in specialized stores,5555
ADODERA IMYENDA KURUBARAZA,adodera imyenda kurubaraza,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUHINZI BWOROZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bworozi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
kwogosha,kwogosha,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUHINZI BW' IKAWA BW'UMWUGA,ubuhinzi bw'ikawa bw'umwuga,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
Gucuruza ibikoresho byu bwubatsi,gucuruza ibikoresho byu bwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
UBUHINZI BW'IBIGOLI,ubuhinzi bw'ibigoli,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
GUTWARA ABAGENZI MU MUHANDA KURI MOTO,gutwara abagenzi mu muhanda kuri moto,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
IMIRIMO YURUGO,imirimo yurugo,9820,9820,9820,4,4,Undifferentiated service-producing activities of private households for own use,Undifferentiated service-producing activities of private households for own use,Undifferentiated service-producing activities of private households for own use,9999
gucuruza imiti yamatungo,gucuruza imiti yamatungo,4772,4772,4772,4,4,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772
GUSUDIRA HIGANJEMO GUKORA INZUGI ZA METALLIC NSHYASHYA,gusudira higanjemo gukora inzugi za metallic nshyashya,2511,2511,2511,4,4, Manufacture of structural metal products,Manufacture of structural metal products, Manufacture of structural metal products,2511
BACUNGA UMUTEKANO W'ABANTU N'IBINTU,bacunga umutekano w'abantu n'ibintu,8423,8423,8423,4,4,Public order and safety activities,Public order and safety activities,Public order and safety activities,8423
UBWOROZI BW'INGURUBE,ubworozi bw'ingurube,145,145,145,3,4,Raising of swine/pigs,Raising of swine/pigs,Raising of swine/pigs,5555
UBUCURUZI BW'IBIRIBWA,ubucuruzi bw'ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kudoda imyenda,kudoda imyenda,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUHINZI BW' IBIJUMBA,ubuhinzi bw'ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
Umurimo wingenzi ubucuruzi bw'ibinyobwa aho bundadariza,umurimo wingenzi ubucuruzi bw'ibinyobwa aho bundadariza,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
UBUHINZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
Kuranguza ibirayi,kuranguza ibirayi,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
GUCUNGA UMUTEKANO W'ABANTU N'IBINTU,gucunga umutekano w'abantu n'ibintu,8010,8010,8010,4,4,Private security activities,Private security activities,Private security activities,8010
KURANGA AMAZU NIBIBANZA,kuranga amazu nibibanza,6820,6820,6820,4,4,Real estate activities on a fee or contract basis,Real estate activities on a fee or contract basis,Real estate activities on a fee or contract basis,5555
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
gucuruza akabare,gucuruza akabare,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUCURUZI BUDANDAZA UBUNCONSHO BWIGANJEMO IBIRIBWA,ubucuruzi budandaza ubunconsho bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW'AMATEKE,ubuhinzi bw'amateke,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
guhabantu ibyo kunywa byiganjemo amata fanta ni cyayi,guhabantu ibyo kunywa byiganjemo amata fanta ni cyayi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
