description,isic_code,isic_label,isic_description
ubucuruzi budandaza ibyo kurya higanjemo ibinshyimo,4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi bwiganjemo ;ibirayi,amasabune,amavuta,igitoki,ibirayi,amabase",4719,"General shop, other goods",Other retail sale in non-specialized stores
GUPIMA MUTSING,5630,Bars & beverage serving,Beverage serving activities
ubwogashi bw'u musatsi,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
bacuruza ibinyobwa bisembuye n' ibidasembuye,5630,Bars & beverage serving,Beverage serving activities
"UBWOGOSHI BWIMISATSI (ABAGABO,ABANA,ABAGORE)",9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Boutique Indandaza ibintu bitandukanye higajemo fanta,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi budandaza higanjemo inkweto za bodaboda,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
kudandaza ibintu bitandukanye,4719,"General shop, other goods",Other retail sale in non-specialized stores
bacuruz ibikoresho byose byubwubatsi byiganjemo amarangi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
IMIRIMO YO GUTUNGANYA IMISATSI,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
kudandaza imboga,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Iyi  Cantine icuruza ibyo kunywa bidasembuye ndetse n'ibinyamafarini bitandukanye,5610,Restaurants & food service,Restaurants and mobile food service activities
UMUHINZI W'IBIVANGAVANZE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
Ubudandazi bw' ubuconco bwiganjemo imifuka n' imigozi bakoresha bazirika imizigo,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi busanzwe bwiganjemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
akabari kibyo kunywa,5630,Bars & beverage serving,Beverage serving activities
Ubudandazi bwi ibinyobwa bisembuye,5630,Bars & beverage serving,Beverage serving activities
kudandaza ibicuruzwa byiganjemo ibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza ubuconco by'iganjemo ibiribwa n'ibinyobwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
guha ibyo kurya no kunwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza ibikorwesho byubwubatsi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
"gucuruza ubuconco ibyo kurya igitoki,ibirayi,imboga,...",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
IBUCURUZI BW'IBIRIBWA N'IBINYOBWA BYOROHEJE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza ibintu bitandukanye higanje amasabune,5610,Restaurants & food service,Restaurants and mobile food service activities
Gutanga uburezi kumashuri abanza kugeza P6,8510,Primary education,Pre-primary and primary education
UBUDANDAZI BWIBIRIBWA NIBINYOBWA MU IDUKA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bwi inyongeramusaruro,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi budandaza bwa mobile phones and accessories,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
ubucuruzi bw'icyayi na capati,5610,Restaurants & food service,Restaurants and mobile food service activities
Guserika ikigage,5630,Bars & beverage serving,Beverage serving activities
Bacuruza badandaza ibinyobwa bitandukanye byiganjemo ibya bralirwa,4630,Wholesale of food & drinks,"Wholesale of food, beverages and tobacco"
Imirimo yo ubwogoshi abantu,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubucuruzi bw'ibiryo bihiye,5610,Restaurants & food service,Restaurants and mobile food service activities
hucuruza byeri,5630,Bars & beverage serving,Beverage serving activities
uburuzi bwabutike,4719,"General shop, other goods",Other retail sale in non-specialized stores
kubetera abantu ifu,1061,Grain milling,Manufacture of grain mill products
"kudandaza ibiribwa higanjemo imineke,isukari,umuceri,amandazi,avoka,juls,",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUDANDAZI BW'IBIJUMBA MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Ubucuruzi budandaza imyenda y'iabana,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
UBUHINZI BW ' IBISHYIMBO N' IBIGORI,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubucuruzi bwa bu conco,4719,"General shop, other goods",Other retail sale in non-specialized stores
gucuruza ibiribwa bibisi muri boutique,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUBINZI BW'IBISHYIMBO,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
Ubucuruzi bwamasheneti zokwambara,4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUHINZI BW IMYAKA,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
Gucuruza amata nibyo kurya,5610,Restaurants & food service,Restaurants and mobile food service activities
ubwogoshi bwimisatsi ya bagabo,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
"umurimo wingenzi kwarurukudandaza ibyokurya byiganjemo umuceri,kawunga namavuta",4721,Specialised food shop,Retail sale of food in specialized stores
KUDANDAZA IBICURUZWA BITANDUKANYE HIGANJEMO IBIIRIBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
SERVICES Z'UBWIZ?,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubucuruzi bwimenya yabagabo caguwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi budandaza bw,imyenda",4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
kugabura ibunyobwa ni biribwa byiganjyemo( ibirayi n'umusururu),5630,Bars & beverage serving,Beverage serving activities
BOUTIQUE IDANDAZA IBIRIBWA N'IBINYOBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza ibiribwa byiganjemo ibirayi,4721,Specialised food shop,Retail sale of food in specialized stores
UBUCURUNZI BWIGANJEMO IBIRIBWA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza ibijyanye na made in rwanda ( ubugeni nubukorikori),4773,Other specialised shop,Other retail sale of new goods in specialized stores
UBUDANDAZI BWIGANJEMO  AMAKARA MURUGO,4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
"Ubucuruzi bwiganjemo imigati, amavuta yo kwisiga, amasabune",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Kudandaza ubuconsho,4719,"General shop, other goods",Other retail sale in non-specialized stores
Gutunganya umusaruro wubuhinzi(gusya),1061,Grain milling,Manufacture of grain mill products
Akabare k'urwagwa,5630,Bars & beverage serving,Beverage serving activities
UBURUZI BUDANDAZA BWIGANJEMO IBISHYIMBO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"ubudandazi bw',iganjemo ibiribwa",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ubudandaza ibintu bitandukanye mu iduka,4721,Specialised food shop,Retail sale of food in specialized stores
"Ubudandazi bwimboga mwisoko bwiganjemo inyanya,intoryi,ibitunguru",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUCURUZI BW'INZOGA BUKORERWA AHANTU HABUGENEWE,5630,Bars & beverage serving,Beverage serving activities
kudandaza ibitenge mwisoko,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
GUSUKA,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
UBUHINZI BUGAMIJE GUTUNGU URUGO,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
guha abantu icyo kunywa gikomoka kumasaka / Ikigage,5630,Bars & beverage serving,Beverage serving activities
kudandaza icyayi namandazi,5610,Restaurants & food service,Restaurants and mobile food service activities
Ubucuru bundadaza ikweto zo kwambara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubucuruzi budandaza bwiganjemo ibikoresho byo mu rugo amasahane, ibikombe",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwa boutique budandaza higanjemo ibitaribiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
adandaza imyenda yabadamu,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
Gusya ifu yibinyampeke,1061,Grain milling,Manufacture of grain mill products
BOUTIQUE yiganjemo ibirayi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZU BWIMINEKE MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ubucuruzi bwumusururu,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi bwamasabune yokumesa,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ubucuruzi budandaza bwiganjemo akabenzi,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUDOZI BWIMYENDA ISANZWE,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
GUCURUZA IMYENDA MWISOKO NOKUDODA,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi bw'isambusa,5610,Restaurants & food service,Restaurants and mobile food service activities
BACURUZA IBYOMBO,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubucuruzi bw,ibiribwa nkenerwa",4719,"General shop, other goods",Other retail sale in non-specialized stores
Kudandaza(ifuyubugari),4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"Kundandaza ibiribwa,imbuto n'amavuta yo guteka muri boutique",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bw'imyenda mu isoko,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
gutunganya umusatsi(kwogosha gusa hifashishijwe imashini imwe),9602,Hairdressing & beauty,Hairdressing and other beauty treatment
UBUCURUZI BW'INKWETO CYANE CYANE BODABODA,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
Gustya amasaka nibindi bikoreshwa imashini,1061,Grain milling,Manufacture of grain mill products
gucuruza (kudandaza) ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwaboutiQwe imiceri akawunga amasabune amandazi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza iganjemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bw'ibiribwa muri boutique,4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi budandaza bwu rwagwa,5630,Bars & beverage serving,Beverage serving activities
kudandaza ibintu bitandukanye higanjemo ibiribwa(kawunga),4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Bagabura ibiryo bihiye bya sasita na ninjoro,5610,Restaurants & food service,Restaurants and mobile food service activities
kwegereza abaturage ibiribwa( inyama ),4721,Specialised food shop,Retail sale of food in specialized stores
bacuruza ibintu byishi bitandukanye muri botique,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi bwimyenda yabagabo niyabagore,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
GUTUNGANYA IMISATSI YABANTU,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Uburezi bwibanze,8510,Primary education,Pre-primary and primary education
kudandaza inyama muri boucheri,4721,Specialised food shop,Retail sale of food in specialized stores
Ubucuruzi bwiganjemo ibyo kunywa bitetse,5610,Restaurants & food service,Restaurants and mobile food service activities
bacuruza imyenda n'amaherena by'abari n'abategarugori,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
boutique yibanze kubiribwa n ibikoresho by isuku,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bw'ibintu bitandukanye mwiduka,4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUREZI MU RERERO,8510,Primary education,Pre-primary and primary education
batanga amata yo kunywa kuri dayali,5610,Restaurants & food service,Restaurants and mobile food service activities
"kogosha abagabo ,abagore",9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubudandaza higanjemo Amavuta yo kurya,4773,Other specialised shop,Other retail sale of new goods in specialized stores
IMIRIMO YO KURIMIRA IBISHYIMBO,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubucuruzi bw'ibiribwa bibisi n'ubuconco muri boutique,4721,Specialised food shop,Retail sale of food in specialized stores
gutunganya amafu,1061,Grain milling,Manufacture of grain mill products
"Kudandaza imbuto higanjemo imineke nimboga higanjemo imiteja, dodo,carotte",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
gucuruza ibinyobwa bidasembuye,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUHINZI BBW'IBIHINGWA BITANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubudandaza bwimitako yimodoka,4773,Other specialised shop,Other retail sale of new goods in specialized stores
Imashine isya imyaka itandukanye ibigori amasaka hakavamo amafu atandukanye,1061,Grain milling,Manufacture of grain mill products
"Ubucuruzi bw'imyenda higanjemo ibitenge,imipira n'ibikapu",4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
Kundandaza ibiribwa bitandukanye hijanjemo amasaka,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza inkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
KURANGURA IMIKATI,5610,Restaurants & food service,Restaurants and mobile food service activities
"ubucurunzi bw'ibinyobwa bya Bralirwa,hakiyongeraho ikigange n'urwagwa",5630,Bars & beverage serving,Beverage serving activities
ubucutuzi bw'ibyo kunywa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUHINZI BW 'IBIRAYI,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
"KUGABURIRA ABANTU AMANDAZI ,ICYAYI N'AMATA",5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi bwa butike budandaza  burimo nibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
"Alimentation icuruza amata, amandazi n'imbuto",4721,Specialised food shop,Retail sale of food in specialized stores
UBUHINZI BW IBIJUMBA,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
ubucuruzi buganjemo ibirungo,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ubucuruzi budandaza ibiribwa bitetse,5610,Restaurants & food service,Restaurants and mobile food service activities
kogosha imitsatsi kubantu bose,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Badandaza ubunconsho bwiganjemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BWIGANJEMO IBIRIbWA MURI BUTIKE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"GUCURUZA UMUCERI,UBUGARI,KAWUNGA",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
GUCURUZA IBIJUMBA MWISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUHINZI N'UBWOROZI BUGAMIJE GUTUNGA URU,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
"ubudandazi bw,ibintu  higanjemo umuceri ,amavuta yo kurya n,ibikoresho by,isuku bitandukanye",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
bacyuruza kawunga namasabune badandaza,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuruzi bwimiti ivura abantu,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
UBUHINZI BWIBIHIGWA BITANDUKANGE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubucuruzi budadaza bwibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BW'INYONGERAMUSARURO,4773,Other specialised shop,Other retail sale of new goods in specialized stores
UBUHINZI BUGAMIJE GUTUNGA,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
PRIMARY EDUCATION,8510,Primary education,Pre-primary and primary education
Kudandaza ibiribwa by'abantu,4721,Specialised food shop,Retail sale of food in specialized stores
UBUDANDAZI BWIGANJEMO UMUNYU,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
NI SALOON YOGOSHA ABAGABO NA BAGORE,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
UBUHINZI BWIMBUTO(WATER MELON),0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
UBUCURUZI BUDANDAZA IBIRAYI MU IDUKA,4721,Specialised food shop,Retail sale of food in specialized stores
UBUREZ MU MASHURI ABANZA,8510,Primary education,Pre-primary and primary education
"Ubucuruzi bushyingiye urwagwa ,umusuru.",5630,Bars & beverage serving,Beverage serving activities
Nukwegereza abaturage amata hafi kugirango bayabone muburyo buboroheye,4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi budandaza amavuta,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
UBUCURUZI BWA BOUTIQUE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUDANDAZI BWA BOUTIQUE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUHINZI BWI BIHINGWA BITANDANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
boutique idandaza higanjemo ibiribwa nibinyobwa nkinzoga zipfundikiye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"gucuruza amandazi,n icyayi",5610,Restaurants & food service,Restaurants and mobile food service activities
Akora umurimo wo kudoda imyenda mishya ndetse niyo gusana imyenda yacitse,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
"gucuruza botike yiganjemo quantine ,amata namandazi",5610,Restaurants & food service,Restaurants and mobile food service activities
"ubudozi bwinkweto, inshyashya nizishaje",1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
Gutanga ibyo kurya biciriritse,5610,Restaurants & food service,Restaurants and mobile food service activities
"UBUCURUZI BW,IBIRIBWA MUMIHANDA",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza isabune namakayi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi budandaza ibiribwa ,ibirayi,umuceri",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KOTSA IBIGORI KUMUHANDA BAKABIDANDAZA,5610,Restaurants & food service,Restaurants and mobile food service activities
Iy ni Butike icuruza ubuconco higanjemo ibyo kurya bitandukanye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubudandazi bwiganjemo, ibiribwa na mavuta yokwisiga",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
BADODA IMYENDA MISHYA,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
UBUDANDAZI BW'IBIRIBWA MURI BOUTIQUE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwa liquor(liquor shop),4719,"General shop, other goods",Other retail sale in non-specialized stores
GUCURUZA IBINYOBWA BITANDUKANYA CYANE CYANE INYA BRALIRWA,5630,Bars & beverage serving,Beverage serving activities
GUTANGANYA IMISATSI Y'ABAGORE,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
kudandaza inzoga zitandukanye,5630,Bars & beverage serving,Beverage serving activities
kwakira abantu no kubaha icyo kunywa,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BUDANDAZA IBIRAYI KUMUHANDA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"gucuruza, ibishyimbo bihiye, amakara",4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi bw,' ibyo kurya no kunywa",5610,Restaurants & food service,Restaurants and mobile food service activities
bacuruza imiti ivura abantu ikoze mubimera,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
UBWOROZI BW'AMATUNGO YO GUTUNGA URUGO,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
ubucuruzi budandaza inzoga zipfundikiye,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi budandaza bwiganjemo ibyambarwa,4721,Specialised food shop,Retail sale of food in specialized stores
UBUHINZI BW KAROTI,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
Kudandaza utuntu ducye higanjemo iibisuguti,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bwibiribwa nibinyobwa bitandukanye bidatetse,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE CYANE CYANE IBIRIBWA UMUCERI ,AKAWUNGA, N'IBIKORESHO BY'ISUKU NK' ISABUNE AMAVUTA",4721,Specialised food shop,Retail sale of food in specialized stores
Boutique idandaza ibintu bitandukanye higanjemo ibikoresho byisuku nimyenda,4719,"General shop, other goods",Other retail sale in non-specialized stores
Umurimo wo kugabura icyayi n'amandazi nimineke,5610,Restaurants & food service,Restaurants and mobile food service activities
"Butike idandaza higanjemo (ibirayi,umuceri,amasabune ,ibishyimbo)",4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi bwubucyosho bwiganje mo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Ubucuruzi,budandaza,ubuconsho cyane cyane higanjemo ibiribwa",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Gusya ibinyampeke bitandukanye by' abaturage bahaturiye,1061,Grain milling,Manufacture of grain mill products
"Ubucuruzi bw'ibiribwa(ibishyimbo,akawunga,umuceri n'isukari Baradandaza",4721,Specialised food shop,Retail sale of food in specialized stores
kogosha abantu muri sarodecafire,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
gucuruza bunshonsho,4719,"General shop, other goods",Other retail sale in non-specialized stores
"ubucuruzi bw'uruconco, ibiribwa",4721,Specialised food shop,Retail sale of food in specialized stores
UBUHINZI BWIBIGORI NUMUCERI,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
"ubucuruzi bwa boutique bwiganjemo umunyu, amasabune, n'ibiribwa bitandukanye",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Gusya Imyumbati N'amasaka(IFu),1061,Grain milling,Manufacture of grain mill products
"ubucuruzi budandaza ibiribwa ( biscuit, makaroni, umunyu,..) muri boutique",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kogosha nogusokoza bakanasiga inzara,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubucuruzi bwubunshonsho higanjemo ibitunguru,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUHINZI BWQMASAKA,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
"UBUDANDAZI BY'IBYO KURYA  ; UMUCERI ,KAWUNGA, IBISHYIMBO,",4721,Specialised food shop,Retail sale of food in specialized stores
GUSERIVA IBIRYO MURI RESTAURANT,5610,Restaurants & food service,Restaurants and mobile food service activities
.Kudandaza ibintu bitandukanye muri boutique,4719,"General shop, other goods",Other retail sale in non-specialized stores
ABASANA IMYENDA,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
"ubucuruzi bw'ibiribwa byiganjemo umuceri,kawunga,amavuta hakabonekamo nibikoresho byisuku bitandukanye twongeyemo nibikoresho byubuhinzi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bupima inzoga z'urwagwa,5630,Bars & beverage serving,Beverage serving activities
FARUMASI,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
Kudandaza ibicuruzwa byiganjemo ibiribwa mu iduka,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BUHA ABANTU IBINYOBWA BUKORERA AHABUJYENEWE(AKABARI),5630,Bars & beverage serving,Beverage serving activities
"umurimo wingenzi w'ubudandazi bwiganjemo kawunga ,umunyu,isukari",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Gucuruza ubuconsho,4719,"General shop, other goods",Other retail sale in non-specialized stores
badaza ubuehera,5630,Bars & beverage serving,Beverage serving activities
"GUSYA IMYAKA HIGANJEMO IMUUMBATI,AMAMERA",1061,Grain milling,Manufacture of grain mill products
KUBAGARA IBOSHYIMBO,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
UBUCURUZI BUDANDAZA IMYENDA MU IDUKA,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"umurimo wingenzi nukudandaza ibyokurya byiganjemo ibirayi,umuceri,?bitungur,inyanya,amashu nkawunga",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BUDANDAZA BWA QUINCAILLERIE,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
ubucuruzi bwi ibiribwa ni ibinyobwa higanjemo inzoga zipfundikiye,5610,Restaurants & food service,Restaurants and mobile food service activities
"Kudandaza imineke, icyayi ndetse n'amandazi",5610,Restaurants & food service,Restaurants and mobile food service activities
kudetaya ibikoresho byinkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
UBUHINZI W'IBIHINGWA BITANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
UBUCURUZU BW' IMBOGA MWISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ADANDAZA IBINTU BITANDUKANYE HIGANJEMO IMBOGA,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"gusya amasaka,ibigori",1061,Grain milling,Manufacture of grain mill products
Ubucuruzi budandaza Imyenda higanjemo iyabagabo,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"boutique idandaza, ibiribwa bitandukanye, inyanya ibishyimbo,ibirayi,nibindi bikoresho byisuku bitandukane",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwubuconsho  ibiribwa imyenda ibyuma nibindi,4719,"General shop, other goods",Other retail sale in non-specialized stores
